,KEY_WORDS,RESULTS,
0,pollution monitoring,246957,
1,pollution treatment,1259867,
2,ecological restoration,37814,
3,habitat restoration,6261,
4,habitat reparation ,199,
5,habilitation,1587,
6,ecosystem,100645,
7,restoration and ecology,11089,
8,wastewater treatment,542246,
9,water pollution,1933226,
10,water quality,4442123,
11,water clean ,2652069,
12,ecological environment,357199,
13,pollution abatement,9667,
14,soil pollution,339355,
15,metal pollution,847381,
16,soil treatment,664198,
17,solid waste,1245226,
18,e-waste,4677,
19,waste electronic equipment,277145,
20,industrial pollution,686187,
21,ocean pollution,46471,
22,marine pollution,79079,
23,sea pollution,112435,
24,air pollution,1511688,
25,air treatment,4054312,
26,greenhouse gas ,131972,
27,climate adaptation,12624,
28,climate mitigation ,4751,
29,CO2,0resultsfoundForyourquery:CO2Searchingbutnotfinding?Changeyourqueryinthesearchbaraboveoropen"Advancedsearch".Open"Ad,
30,O3,370023,
31,carbon sink,166121,
32,carbon storage,1694047,
33,carbon capture,237844,
34,CCUS and carbon,964,
35,carbon utilization,594085,
36,clean production,1668476,
37,clean technology,1815387,
38,clean test,847095,
39,COD,253344,这是水体监测的两个主要指标
40,BOD,131517,
41,carbon sequestration,21087,
